player,all-nba-prob
Jarrell Brantley,5.117058753967285e-05
RJ Barrett,4.9740076065063477e-05
Elfrid Payton,4.9620866775512695e-05
Max Strus,4.8547983169555664e-05
DaQuan Jeffries,4.4286251068115234e-05
Jeremiah Martin,4.2438507080078125e-05
Cedi Osman,3.981590270996094e-05
Gary Payton,3.793835639953613e-05
Miles Bridges,3.7789344787597656e-05
Tony Snell,3.6269426345825195e-05
Udonis Haslem,3.457069396972656e-05
Dejounte Murray,3.427267074584961e-05
Terrance Ferguson,3.349781036376953e-05
J.J. Barea,2.9593706130981445e-05
Brian Bowen,2.9087066650390625e-05
Paul Watson,2.8967857360839844e-05
Justin Anderson,2.79843807220459e-05
Miye Oni,2.7865171432495117e-05
Landry Shamet,2.7805566787719727e-05
Lonzo Ball,2.7120113372802734e-05
Tremont Waters,2.60770320892334e-05
Amir Coffey,2.1338462829589844e-05
PJ Dozier,1.9878149032592773e-05
Khyri Thomas,1.9848346710205078e-05
Daryl Macon,1.9341707229614258e-05
Zylan Cheatham,1.8894672393798828e-05
Isaiah Roby,1.8537044525146484e-05
Henry Ellenson,1.8298625946044922e-05
Dario Saric,1.77919864654541e-05
Adam Mokoka,1.728534698486328e-05
Vic Law,1.659989356994629e-05
Jalen McDaniels,1.5914440155029297e-05
Luguentz Dort,1.519918441772461e-05
Stanton Kidd,1.4662742614746094e-05
Zhaire Smith,1.3679265975952148e-05
Jared Harper,1.290440559387207e-05
Danuel House,1.2576580047607422e-05
Dragan Bender,1.2308359146118164e-05
Kevin Huerter,1.2010335922241211e-05
Johnathan Motley,1.1563301086425781e-05
Caleb Martin,1.138448715209961e-05
Johnathan Williams,1.099705696105957e-05
Keldon Johnson,1.0520219802856445e-05
Avery Bradley,1.0460615158081055e-05
Chandler Parsons,1.0013580322265625e-05
Tacko Fall,9.179115295410156e-06
Kadeem Allen,9.08970832824707e-06
Jaylen Nowell,9.03010368347168e-06
Zach Norvell,8.702278137207031e-06
John Konchar,7.748603820800781e-06
Michael Frazier,7.539987564086914e-06
Kyle Guy,7.3909759521484375e-06
Jalen Lecque,7.3909759521484375e-06
Justin Patton,7.12275505065918e-06
Josh Magette,7.0035457611083984e-06
Alen Smailagic,6.8247318267822266e-06
B.J. Johnson,6.377696990966797e-06
Norman Powell,6.318092346191406e-06
Bryn Forbes,6.22868537902832e-06
Dewan Hernandez,6.020069122314453e-06
Isaiah Thomas,5.662441253662109e-06
Devon Hall,5.602836608886719e-06
Shamorie Ponds,5.334615707397461e-06
Kostas Antetokounmpo,5.304813385009766e-06
De'Andre Hunter,5.066394805908203e-06
Tim Hardaway,5.0067901611328125e-06
Bruce Brown,4.589557647705078e-06
Jake Layman,4.589557647705078e-06
Yuta Watanabe,4.559755325317383e-06
Damion Lee,4.500150680541992e-06
C.J. Miles,4.112720489501953e-06
Louis King,3.6954879760742188e-06
Jordan Bone,3.6656856536865234e-06
JaKarr Sampson,3.6656856536865234e-06
Joe Ingles,3.635883331298828e-06
KZ Okpala,3.039836883544922e-06
Antonius Cleveland,2.9206275939941406e-06
Vlatko Cancar,2.7120113372802734e-06
Kevin Hervey,2.562999725341797e-06
Sekou Doumbouya,2.562999725341797e-06
Courtney Lee,2.5033950805664062e-06
Taj Gibson,2.384185791015625e-06
Shabazz Napier,2.2351741790771484e-06
Gabe Vincent,2.205371856689453e-06
Kevon Looney,2.175569534301758e-06
Cristiano Felicio,2.115964889526367e-06
Serge Ibaka,2.115964889526367e-06
Jonah Bolden,1.9669532775878906e-06
Nigel Williams-Goss,1.9669532775878906e-06
Charlie Brown,1.6689300537109375e-06
Drew Eubanks,1.4901161193847656e-06
Eric Gordon,1.3113021850585938e-06
Josh Reaves,1.2218952178955078e-06
Justin Robinson,1.2218952178955078e-06
Chris Chiozza,1.2218952178955078e-06
Khem Birch,1.1920928955078125e-06
Dean Wade,1.1920928955078125e-06
Patrick McCaw,1.1026859283447266e-06
Caris LeVert,1.1026859283447266e-06
Garrett Temple,1.0728836059570312e-06
Shake Milton,1.043081283569336e-06
Jordan McLaughlin,1.0132789611816406e-06
Moritz Wagner,1.0132789611816406e-06
Jarred Vanderbilt,9.238719940185547e-07
Mfiondu Kabengele,7.748603820800781e-07
Michael Kidd-Gilchrist,6.854534149169922e-07
Cody Zeller,6.258487701416016e-07
Maurice Harkless,6.258487701416016e-07
Nicolas Claxton,5.960464477539062e-07
Moses Brown,5.662441253662109e-07
Ryan Broekhoff,5.662441253662109e-07
Darius Garland,5.662441253662109e-07
Jahlil Okafor,5.066394805908203e-07
Ignas Brazdeikis,4.76837158203125e-07
Kris Dunn,4.470348358154297e-07
Donte DiVincenzo,4.172325134277344e-07
Iman Shumpert,3.8743019104003906e-07
Jaylen Hoard,3.5762786865234375e-07
Frank Kaminsky,2.980232238769531e-07
Norvel Pelle,2.980232238769531e-07
Juwan Morgan,2.682209014892578e-07
Caleb Swanigan,2.384185791015625e-07
Naz Reid,2.086162567138672e-07
Garrison Mathews,2.086162567138672e-07
Tyler Cook,2.086162567138672e-07
Chandler Hutchison,2.086162567138672e-07
Al-Farouq Aminu,2.086162567138672e-07
Alize Johnson,2.086162567138672e-07
Bismack Biyombo,2.086162567138672e-07
Robert Williams,1.7881393432617188e-07
Rayjon Tucker,1.7881393432617188e-07
Tim Frazier,1.4901161193847656e-07
Chimezie Metu,1.4901161193847656e-07
Brandon Goodwin,1.1920928955078125e-07
Brandon Knight,1.1920928955078125e-07
Romeo Langford,1.1920928955078125e-07
Ante Zizic,1.1920928955078125e-07
Nicolas Batum,8.940696716308594e-08
Derrick Rose,8.940696716308594e-08
James Johnson,8.940696716308594e-08
Tyrone Wallace,8.940696716308594e-08
Ty Jerome,8.940696716308594e-08
Thanasis Antetokounmpo,8.940696716308594e-08
Melvin Frazier,8.940696716308594e-08
Vincent Poirier,8.940696716308594e-08
Isaac Bonga,5.960464477539063e-08
Evan Turner,5.960464477539063e-08
Isaiah Hartenstein,5.960464477539063e-08
Wenyen Gabriel,5.960464477539063e-08
Trey Lyles,5.960464477539063e-08
Edmond Sumner,5.960464477539063e-08
Harry Giles,5.960464477539063e-08
Jeff Teague,2.9802322387695312e-08
Alec Burks,2.9802322387695312e-08
Wilson Chandler,2.9802322387695312e-08
Allonzo Trier,2.9802322387695312e-08
Kyle O'Quinn,2.9802322387695312e-08
David Nwaba,2.9802322387695312e-08
Kelan Martin,2.9802322387695312e-08
DeMarre Carroll,2.9802322387695312e-08
Kenrich Williams,2.9802322387695312e-08
Jarrett Culver,2.9802322387695312e-08
Mason Plumlee,0.0
Theo Pinson,0.0
Dwayne Bacon,0.0
Jakob Poeltl,0.0
Anfernee Simons,0.0
Mo Bamba,0.0
Coby White,0.0
Matisse Thybulle,0.0
Grant Williams,0.0
Chris Silva,0.0
Marvin Williams,0.0
Ish Smith,0.0
Derrick White,0.0
Christian Wood,0.0
Trevor Ariza,0.0
Patrick Patterson,0.0
Anzejs Pasecniks,0.0
Eric Paschall,0.0
Matt Thomas,0.0
Omari Spellman,0.0
Ryan Arcidiacono,0.0
Noah Vonleh,0.0
D.J. Wilson,0.0
Grayson Allen,0.0
Davis Bertans,0.0
Jordan Poole,0.0
Thabo Sefolosha,0.0
Kevin Porter,0.0
Delon Wright,0.0
Lou Williams,0.0
Jerome Robinson,0.0
Gary Trent,0.0
Thaddeus Young,0.0
Austin Rivers,0.0
Mitchell Robinson,0.0
Darius Bazley,0.0
Brad Wanamaker,0.0
Denzel Valentine,0.0
Derrick Walton,0.0
Rajon Rondo,0.0
Terrence Ross,0.0
D.J. Augustin,0.0
Kyle Anderson,0.0
Kent Bazemore,0.0
Cam Reddish,0.0
Malik Beasley,0.0
Lonnie Walker,0.0
Marco Belinelli,0.0
Jordan Bell,0.0
Bobby Portis,0.0
Keita Bates-Diop,0.0
Nickeil Alexander-Walker,0.0
Admiral Schofield,0.0
DeAndre' Bembry,0.0
Michael Porter,0.0
Anthony Tolliver,0.0
Dennis Schroder,0.0
Mike Scott,0.0
Dennis Smith,0.0
Ky Bowman,0.0
Kelly Olynyk,0.0
Alex Caruso,0.0
Treveon Graham,0.0
Jerami Grant,0.0
JaMychal Green,0.0
Javonte Green,0.0
Jeff Green,0.0
Vince Carter,0.0
Marko Guduric,0.0
Jevon Carter,0.0
Montrezl Harrell,0.0
Kentavious Caldwell-Pope,0.0
Shaquille Harrison,0.0
Josh Hart,0.0
Jaxson Hayes,0.0
Bruno Caboclo,0.0
John Henson,0.0
Juancho Hernangomez,0.0
Willy Hernangomez,0.0
Tyler Herro,0.0
Mario Hezonja,0.0
George Hill,0.0
Solomon Hill,0.0
Aaron Holiday,0.0
Deonte Burton,0.0
Justin Holiday,0.0
Rondae Hollis-Jefferson,0.0
Trey Burke,0.0
Dwight Howard,0.0
Ersan Ilyasova,0.0
Jalen Brunson,0.0
Michael Carter-Williams,0.0
Tyson Chandler,0.0
Josh Okogie,0.0
Rudy Gay,0.0
Quinn Cook,0.0
Allen Crabbe,0.0
Torrey Craig,0.0
Seth Curry,0.0
Troy Daniels,0.0
Ed Davis,0.0
Terence Davis,0.0
Dewayne Dedmon,0.0
Matthew Dellavedova,0.0
Chris Clemons,0.0
Cheick Diallo,0.0
Hamidou Diallo,0.0
Gorgui Dieng,0.0
Damyean Dotson,0.0
Goran Dragic,0.0
Jordan Clarkson,0.0
Jared Dudley,0.0
Carsen Edwards,0.0
Wayne Ellington,0.0
Brandon Clarke,0.0
James Ennis,0.0
Jacob Evans,0.0
Dante Exum,0.0
Gary Clark,0.0
Bruno Fernando,0.0
Yogi Ferrell,0.0
Marquese Chriss,0.0
Daniel Gafford,0.0
Langston Galloway,0.0
Troy Brown,0.0
Wes Iwundu,0.0
Frank Jackson,0.0
Sterling Brown,0.0
T.J. McConnell,0.0
Doug McDermott,0.0
Chris Boucher,0.0
Rodney McGruder,0.0
Alfonzo McKinnie,0.0
Ben McLemore,0.0
Jordan McRae,0.0
Nicolo Melli,0.0
De'Anthony Melton,0.0
Malcolm Miller,0.0
Patty Mills,0.0
Malik Monk,0.0
E'Twaun Moore,0.0
Bogdan Bogdanovic,0.0
Markieff Morris,0.0
Monte Morris,0.0
Emmanuel Mudiay,0.0
Goga Bitadze,0.0
Dzanan Musa,0.0
Mike Muscala,0.0
Svi Mykhailiuk,0.0
Abdel Nader,0.0
Larry Nance,0.0
Raul Neto,0.0
Georges Niang,0.0
Nerlens Noel,0.0
Frank Ntilikina,0.0
Semi Ojeleye,0.0
Elie Okobo,0.0
Cody Martin,0.0
Pat Connaughton,0.0
Boban Marjanovic,0.0
Furkan Korkmaz,0.0
Justin Jackson,0.0
Justin James,0.0
Amile Jefferson,0.0
Cameron Johnson,0.0
Stanley Johnson,0.0
Damian Jones,0.0
Derrick Jones,0.0
Tyus Jones,0.0
DeAndre Jordan,0.0
Cory Joseph,0.0
Enes Kanter,0.0
Maxi Kleber,0.0
Kevin Knox,0.0
Luke Kornet,0.0
Terance Mann,0.0
Kyle Korver,0.0
Rodions Kurucs,0.0
Kyle Kuzma,0.0
Skal Labissiere,0.0
Oshae Brissett,0.0
T.J. Leaf,0.0
Alex Len,0.0
Mikal Bridges,0.0
Nassir Little,0.0
Robin Lopez,0.0
Tony Bradley,0.0
Timothe Luwawu-Cabarrot,0.0
Thon Maker,0.0
Tyler Johnson,0.0
